,AGE,BOTTLER,BRAND,Body,CASK TYPE,CHILL FILTERED,Coutry of origin,COLOURING,COMPANY,COUNTRY,Classification,FINISH,FLAVOUR,GRAPE,GRAPE TYPE,Main_Category,NOSE,PALATE,Price,Product_Variant,REGION,SIZE,STYLE,Sub_Category,Sub_Sub_Category,TEMPERATURE,TYPES,Unnamed: 0,VINTAGE,product description,VOLUME
333,['15YEAR OLD'],,['MACALLAN'],,,,Imported,,,['SCOTLAND'],,,,,,Spirits ,,,32990.00,THE MACALLAN OAK 15 DOUBLE CASK_750ML,['Speyside'],['750ML'],,single-malts,Speyside,,,215,,"One of the most famous malts in the world.
Glenlivet 12yo has a soft smooth balance of sweet summer fruits and the floral
notes of spring flowers., Fruity, sweet vanilla, honey, pineapple, pressed apples, cinnamon,
nutmeg. Apple, fruity trifle, creamy citrus, pineapple, very well balanced.",750
334,['15YEAR OLD'],['DISTILLERY BOTTLING'],['MACALLAN'],,['Sherry'],,Imported,,,['SCOTLAND'],,,,,,Spirits ,,,41000.00,THE MACALLAN OAK 15 YRS TRIPLE CASK_750ML,['Speyside'],['750ML'],,single-malts,Speyside,,,216,,"One of the most famous malts in the world.
Glenlivet 12yo has a soft smooth balance of sweet summer fruits and the floral
notes of spring flowers., Fruity, sweet vanilla, honey, pineapple, pressed apples, cinnamon,
nutmeg. Apple, fruity trifle, creamy citrus, pineapple, very well balanced.",750
335,['NO AGE STATEMENT'],,['MACALLAN'],,,,Imported,,,['SCOTLAND'],,,,,,Spirits ,,,470000.00,THE MACALLAN REFLEXION_750ML,['Speyside'],['750ML'],,single-malts,Speyside,,,217,,"A cut above
the standard-issue 12yo, Glenlivet 15yo is finished, as the name suggests, in
Limousin French Oak (the same kind that is used for many Cognacs). Expect rich
notes of fruit, almonds and sweet spice., The Limousin
oak we use is cut in France’s Dordogne region, where it’s often used to mature
cognacs. Its low density allows whisky to sink deep into the wood, and we
carefully control how long the whisky matures in the casks so as not to
overpower the desired result: a unique, pleasing spiciness.",750
336,,,['MACALLAN'],,,,Imported,,,['SCOTLAND'],,,,,,Spirits ,,,10500.00,THE MACALLAN TRIPLE CASK 12 YEARS_700ML,,['700ML'],,single-malts,Speyside,,['MALT'],218,,"A malt whisky of
unmistakable honey-rich maturity and depth., Quite big and
well-rounded. There are notes of chewy sultanas and Sherried peels, barley
sugars and toasty cereals with petals and apple blossom. A touch of fudge and
gentle wisps of smoke. Full and rich with notes of chewy, tannic oak. Manuka
honey and walnut with Cox’s apples and orange peels. Cut herbs - fennel and
spearmint.",700
337,['18 YEAR OLD'],,['THE SINGLETON'],['MEDIUM BODIED'],,,Imported,,,,,"['Soft', 'dry and rounded. Adding water allows a pleasant', 'nutty spiciness to come through', 'recalling the cigar-box found on the nose', 'while there’s a cooling aftertaste.']",,,,Spirits ,"['Dry', 'rich and complex with a mild nose-feel', 'backed by black pepper and mature notes of cigar box.']","['Smooth rich texture with sweet citrus notes balanced by chocolate', 'cherry and chili notes.']",14500.00,THE SINGLETON 18 YRS_700ML,,['700ML'],,single-malts,Speyside,,,219,,"A companion to the much-loved
bourbon-cask-matured Nadurra, the Nadurra Oloroso is a cask-strength Glenlivet
that has been solely matured in first-fill oloroso sherry casks. The result is
a full-bodied, heavily sherried dram that still shows the elegance that you
find at the core of Glenlivet's spirit., Tasting this alongside Ian Logan, he explained
how his favourite tasting notes are the ones that get right to the point, so
here you go: Peat &amp; Pear Drops! Creaminess and earthy peat combine for a
chocolatey finish, both pleasantly bitter cocoa and creamy Cadbury's hot
chocolate with hints of fruitiness still.",700
338,['12 YEAR OLD'],,['THE SINGLETON'],['LIGHT BODIED'],,,Imported,,,,,"['Short', 'creamy and smooth.']",,,,Spirits ,"['Fresh', 'light and clean. Fresh fruitiness and soft fragrant notes; scented leather', 'subtle sandalwood and vanilla.']","['Fresh and easy to drink; spicy', 'then soft and pleasantly sweet. Fruity', 'with citrus', 'raisins', 'vanilla and a hint of honey.']",5950.00,THE SINGLETON GLENDULLAN AGED 12 YEARS_750ML,,['750ML'],,single-malts,Speyside,,,220,,"This 12-year-old
non-peated single malt from the Speyside region of Scotland sips cleanly while
also featuring additional maturation in sherry casks. This is the source of the
name for the line of Macallans to which this dram belongs; Sherry Oak. Bottled
at 40% ABV for most markets and 43% ABV for the US, the whisky is at least
seemingly designed to be approachable first and foremost., Crisp and sweet. There are
notes of sultanas and fresh apple blossom. There is a defined floral note
followed by Sherry hints. Calvados emerges with a tropical fruit note and
golden syrup. Medium-body and quite firm. There are notes of hot pastries and
marmalade, sultanas and peels with a developing sweetness from the barley sugar.",750
339,['15YEAR OLD'],,['THE SINGLETON'],['LIGHT BODIED'],,,Imported,,,,,"['Smooth', 'with light toasty oak', 'well balanced', 'with a creamy violet scented notes.']",,,,Spirits ,"['Sweet', 'soft and inviting. Mild at first with traces of spice and sweet wood followed by richer mature notes.']",['Soft and lightly sweet with buttery fruit cake mix followed by hints of citrus soft fruit and vanilla with a dry finish.'],8250.00,THE SINGLETON GLENDULLAN AGED 15 YEARS_700ML,,['700ML'],,single-malts,Speyside,,,221,,,700
340,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,200.00,MAGIC MOMENTS CHOCOLATE_180ML,,"['180ML', '375ML', '750ML', '90ML']",,vodka,Flavoured,,,222,,,180
341,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,400.00,MAGIC MOMENTS CHOCOLATE_375ML,,"['180ML', '375ML', '750ML', '90ML']",,vodka,Flavoured,,,222,,"Macallan 15yo
Fine Oak is matured in a combination of Bourbon &amp; Sherry Oak Casks. This
range has been around for a few years now and seems to have weathered the storm
it caused amongst the faithful when it was initially released. This one is
probably the pick of the (Fine Oak) bunch. ""Takes time to open but worth
the wait. The complete package and arguably the best. 9¼/10"" Dave Broom,
Whisky Magazine., Citrus
blossom, hot chocolate, cardamom seed, treacle. Quince, salted butter, poached
pear, a hint of cigar box.",375
342,,,['MAGIC MOMENT'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,100.00,MAGIC MOMENTS CHOCOLATE_90ML,,"['180ML', '375ML', '750ML', '90ML']",,vodka,Flavoured,,,222,,"This exceptional single malt draws its colour
and flavor from maturation in smaller hogshead casks, allowing a greater
surface area of wood to interact with the whisky to deliver an intricate
character influenced by both Spanish and American oak casks. The depth of color
and complex flavor of Reflexion is derived from the use of first-fill casks,
carefully selected for this distinctive expression to accentuate its aromas and
flavours. Bold and full bodied, Reflexion is celebration of floral and vanilla
notes, punctuated with fresh apples and apricots., This exceptional single malt draws its colour
and flavor from maturation in smaller hogshead casks, allowing a greater
surface area of wood to interact with the whisky to deliver an intricate
character influenced by both Spanish and American oak casks. The depth of color
and complex flavor of Reflexion is derived from the use of first-fill casks,
carefully selected for this distinctive expression to accentuate its aromas and
flavours. Bold and full bodied, Reflexion is celebration of floral and vanilla
notes, punctuated with fresh apples and apricots.",90
